list_uvi,imo_registry,previous_name,yr_name_chng,call_sign,port_regist,flag,rs_cl_notation,oth_notation,type,subtype,date_build,country_build,GT,tonnage,deadweight,displacement,length_overall,rule_length,beam,mld_breadth,height,draught,speed,type_power,engine,nb_pwr_motor,nb_typ_proplr,nb_blade,nb_pwr_generator,nb_boiler,typ_boiler,pressure,heating_surf,owner,ship_name,fishing_gear,engine_power
804437,8966133,SEITOKU MARU ? 21,1998.0,UHRZ,Kholmsk,Russia,(KM)* R2 fishing vessel,,Fishing,"Side-fishing, Refrigerated cargo machinery",30.12.1980,Japan,208,62,6,293,33.0,27.7,6.3,6.3,2.5,2.3,10.0,Diesel,"Built ME: 1980
Country Construction: Japan
The number and power of ME: 1*698
Mark ME: MS28 GSC",,1 - Controllable pitch propeller,4,1*170 1*80,0,,0.0,0,"VERGE CO LTD
Address:Russia, 693006, Yuzhno-Sakhalinsk, ul.Lenina, 312-A, kv.4
IMO:
Email:rkgran@mail.ru
Company Website:",AKVANAVT,[Others],698.0
863126,8723153,???????,2013.0,UHGX,Sovetskaya Gavan,Russia,KM(*) L2 (REF) fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Seiner, Drift net",30.06.1987,USSR,467,140,38,945,44.8,39.3,9.4,9.0,5.1,4.2,11.5,Diesel,"Built ME: 1986
Country Construction: German Democratic Republic
The number and power of ME: 1*588
Mark ME: 6NVD 48A-2U",,1 - Fixed pitched solid propeller,4,3*150,0,,0.0,0,"""AQUARIUS"" CO. LTD
Address:Russia, 680030 Khabarovsk, ul. Postysheva, d. 23, kv. 83
IMO:
Email:akvarius.ooo@yandex.ru
Company Website:",AQUARIUS,"[Trawler, Seiner]",588.0
791148,7828487,,,UDLB,Petropavlovsk-Kamchatsky,Russia,KM(*) L3 fishing vessel,,Fishing,"Side Trawler, Seiner, Drift net, Pump catching with electric light",30.09.1979,USSR,172,51,8,327,34.0,29.9,7.0,7.0,3.6,2.0,9.5,Diesel,"Built ME: 2005
Country Construction: Korea
The number and power of ME: 1*265
Mark ME: L126TIH",,1 - Fixed pitched solid propeller,3,2*86 1*28,0,,0.0,0,"PETROPAVLOVSK-KAMCHATSKIY RYBOKONSERVNYY ZAVOD LTD
Address:Russia, 683902 Petropavlovsk-Kamchatskiy, ul. Chitinskaya, 2
IMO:
Email:blafwest@yandex.ru
Company Website:",AKSAKOVO,"[Trawler, Seiner]",265.0
790319,7828499,,,UHRD,Astrakhan,Russia,KM(*) L3 fishing vessel,,Fishing,"Stern-fishing, Refrigerated cargo machinery, Pump catching with electric light",04.10.1979,USSR,635,199,44,1220,54.8,50.2,9.9,9.0,5.0,4.1,12.0,Diesel,"Built ME: 1979
Country Construction: German Democratic Republic
The number and power of ME: 1*736
Mark ME: 8NVD 48A-U",,1 - Controllable pitch propeller,4,2*160 2*100,0,,0.0,0,"OOO MF ""AKSIOMA""
Address:Russia, 414028 Astrakhan, ulitsa Admirala Nakhimova, 70A
IMO:
Email:aksioma@astranet.ru
Company Website:",AKSIOMA,[Others],736.0
861506,8722094,?????????,2004.0,UEGU,Vladivostok,Russia,KM(*) L2 (REF) fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Seiner, Purse net",30.06.1987,USSR,843,252,28,1228,53.7,47.9,10.7,10.0,6.0,4.0,12.7,Diesel,"Built ME: 1986
Country Construction: German Democratic Republic
The number and power of ME: 1*970
Mark ME: 8NVD 48A-2U",,1 - Controllable pitch propeller,3,1*300 3*160,0,,0.0,0,"BELRYBFLOT LLC
Address:Russia, 690105 Vladivostok, ul. Borodinskaya, 46/50, office 71
IMO:
Email:fascoma@mail.ru
Company Website:",AKTEON,"[Trawler, Seiner]",970.0
990594,8747288,WIN FAR NO.818,2016.0,UAWJ,Petropavlovsk-Kamchatsky,Russia,(KM)* fishing vessel,,Fishing,"Refrigerated cargo machinery, Live-crab",01.10.1999,Taiwan,598,179,39,1050,56.0,47.0,8.0,8.0,3.0,3.6,11.0,Diesel,"Built ME: 1999
Country Construction: Japan
The number and power of ME: 1*1030
Mark ME: K28 FD",,1 - Fixed pitched solid propeller,4,2*360,0,,0.0,0,"""FENIKS"", JOINT-STOCK COMPANY
Address:Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Leninskaya, 26
IMO:1825034
Email:feniks@bor.kamchatka.ru
Company Website:",ALAID,[Others],1030.0
931755,9055216,,,UERZ,Petropavlovsk-Kamchatsky,Russia,KM* Ice1 AUT2 (REF) fishing vessel,,Fishing,"Fish factory, Refrigerated cargo machinery, Long line",16.12.1993,Germany,1315,395,82,1814,52.5,45.0,11.0,11.0,8.0,5.0,11.0,Diesel,"Built ME: 1993
Country Construction: Germany
The number and power of ME: 1*1060
Mark ME: 8L 23/30A-DKV",,1 - Controllable pitch propeller,4,1*560 2*291,0,,0.0,0,"YAMSY, JSC
Address:Russia, 683013 Petropavlovsk-Kamchatskiy, ul. Shturmana Elagina, 43
IMO:
Email:main@llflot.com
Company Website:",ALANETT,[Longline],1060.0
882239,8728440,,,UCZX,Arkhangelsk,Russia,KM(*) L3 AUT2 fishing vessel,,Fishing,"Refrigerated cargo machinery, Crab",18.07.1989,USSR,364,109,12,560,35.7,31.0,8.9,8.0,6.0,3.4,10.9,Diesel,"Built ME: 1988
Country Construction: German Democratic Republic
The number and power of ME: 1*589
Mark ME: 6NVD 48A-2U",,1 - Fixed pitched solid propeller,4,2*200,0,,0.0,0,"""BELOMOR FREIGHT COMPANY"" JSC
Address:Russia, 163000 Arkhangelsk, ul.Pomorskaya, 32
IMO:5213707
Email:superintendant2@belfreight.ru, office@belfreight.ru
Company Website:www.belfreight.ru",ALDAN,[Others],589.0
10524,9261504,?????? 1,2016.0,UBHI8,Vladivostok,Russia,(KM)* (REF) fishing vessel,,Fishing,"Side-fishing, Refrigerated cargo machinery",15.11.2001,Taiwan,868,350,47,1157,58.0,51.0,9.0,9.0,3.9,3.0,12.0,Diesel,"Built ME: 2001
Country Construction: Japan
The number and power of ME: 1*1103
Mark ME:",,1 - Fixed pitched solid propeller,4,2*360,0,,0.0,0,"""DALRYBPROM"", JOINT-STOCK COMPANY
Address:Russia, 690106 Vladivostok, Okeanskiy pr., 69
IMO:
Email:info@dalrybprom.ru
Company Website:",ALDAN,[Others],1103.0
862146,8721260,,,UBCS,Nakhodka,Russia,KM(*) L2[1] AUT2 REF fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting, Fish processing",05.01.1988,USSR,4407,1322,181,5720,104.0,96.0,16.0,16.0,10.0,5.0,16.1,Diesel,"Built ME: 1986
Country Construction: USSR
The number and power of ME: 2*2576
Mark ME: 6CHN 40/46",,1 - Controllable pitch propeller,4,2*1600 3*200,0,,0.0,0,"""NAKHODKA ACTIVE MARINE FISHERY BASE"", PJSC
Address:Russia, 692900 Nakhodka, ulitsa Makarova 5
IMO:1316095
Email:info@bamr.ru
Company Website:www.bamr.ru",ALEKSANDRBELYAKOV,[Trawler],5152.0
875521,8607153,,,UBXS,Murmansk,Russia,KM(*) L1[1] AUT2 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting, Fish processing",27.07.1988,German Democratic Republic,7765,2329,389,9827,120.4,107.0,19.0,19.0,12.2,7.0,15.5,Diesel,"Built ME: 2010
Country Construction: Germany
The number and power of ME: 2*2880
Mark ME: 6M20",,1 - Controllable pitch propeller,4,2*1500 1*760 1*1368,0,,0.0,0,"PJSC ""MURMANSK TRAWL FLEET""
Address:Russia, 183038 Murmansk, ulitsa Shmidta 43
IMO:4001177
Email:mtf@mtf.ru
Company Website:",ALEKSANDRKOSAREV,[Trawler],5760.0
811943,8133384,,,UAUF,Petropavlovsk-Kamchatsky,Russia,KM(*) L2[1] AUT2 REF fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting, Fish processing",06.11.1982,USSR,4378,1313,181,5720,103.0,96.0,16.0,16.0,10.0,5.0,16.1,Diesel,"Built ME: 1981
Country Construction: USSR
The number and power of ME: 2*2574
Mark ME: 6CHN 40/46 OM4",,1 - Controllable pitch propeller,4,2*1600 3*200,0,,0.0,0,"JSC ""Okeanrybflot"" (public type)
Address:Russia, 683003 Petropavlovsk-Kamchatskiy, ul. Leningradskaya, 27
IMO:1529237
Email:telegraf@bor.kamchatka.ru, flot@bor.kamchatka.ru
Company Website:",ALEKSANDRKSENOFONTOV,[Trawler],5148.0
902945,8842521,,,UAKC,Murmansk,Russia,KM(*) L3 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Purse net",12.05.1991,USSR,814,244,41,1220,54.8,50.0,10.1,9.0,5.0,4.1,12.0,Diesel,"Built ME: 1990
Country Construction: German Democratic Republic
The number and power of ME: 1*852
Mark ME: 8NVD 48A-2U",,1 - Controllable pitch propeller,4,1*160 2*392,0,,0.0,0,"NORTH WEST CRAB CATHING COMPANY LTD
Address:Russia, 183038 Murmansk, ul. Tralovaya, 43
IMO:
Email:mls@vrm.ru
Company Website:",ALEKSANDRMASHAKOV,[Trawler],852.0
881946,8607177,,,UBAU,Murmansk,Russia,KM(*) L1[1] AUT2 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Fish processing",30.09.1988,German Democratic Republic,7765,2329,333,9261,120.4,107.0,19.0,19.0,12.2,6.6,15.5,Diesel,"Built ME: 2002
Country Construction: Germany
The number and power of ME: 2*2880
Mark ME: 6M32C",,1 - Controllable pitch propeller,4,1*1440 1*1080,0,,0.0,0,"TAURUS, JSC
Address:Russia, 183038 Murmansk, ul. Shmidta, d. 43
IMO:
Email:taurus_zao@uk.msk.ru
Company Website:",ALEKSANDRMIRONENKO,[Trawler],5760.0
900070,8832978,?????,1995.0,UDQL,Magadan,Russia,KM(*) L3 (REF) fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Purse net",10.08.1990,USSR,723,216,41,1220,54.8,50.0,10.1,9.0,5.0,4.1,12.0,Diesel,"Built ME: 1989
Country Construction: German Democratic Republic
The number and power of ME: 1*852
Mark ME: 8NVD 48A-2U",,1 - Controllable pitch propeller,4,4*160,0,,0.0,0,"MAG-SEA INTERNATIONAL COMPANY LIMITED
Address:Russia, 685000 Magadan, ulitsa Portovaya 1
IMO:1834338
Email:main@seawolf.magadan.su
Company Website:",ALEKSANDRSHALIN,[Trawler],852.0
931172,8924537,??????,1999.0,UAGG,Vladivostok,Russia,KM(*) L3 fishing vessel,,Fishing,"Refrigerated cargo machinery, Crab",16.11.1994,Ukraine,798,239,39,1220,54.8,50.0,10.1,9.0,5.0,4.1,12.0,Diesel,"Built ME: 1993
Country Construction: Germany
The number and power of ME: 1*852
Mark ME: 8NVD 48A-2U",,1 - Controllable pitch propeller,4,4*160,0,,0.0,0,"PRIMRIBFLOT CO LTD
Address:Russia, 690090 Vladivostok, ul. Fontannaya 55, office 202
IMO:1905552
Email:prflot@vladivostok.ru, prflot@yandex.ru
Company Website:",ALEKSANDRA,[Others],852.0
846497,8410990,SAEVIKING I,2002.0,UBNZ,Nevelsk,Russia,KM* L3 fishing vessel,,Fishing,"Fish factory, Stern Trawler, Refrigerated cargo machinery",13.03.1985,Norway,958,358,43,1639,48.2,43.7,11.0,11.0,7.0,5.4,13.5,Diesel,"Built ME: 1984
Country Construction: Norway
The number and power of ME: 1*1655
Mark ME: KRMB-9",,1 - Controllable pitch propeller,3,2*408,0,,0.0,0,"OOO ""Promflot""
Address:Russia, 693005 Sakhalinskaya obl., Yuzhno-Sakhalinsk, Kholmskoe shosse, d. 30, of. 55
IMO:
Email:promflot@gmail.com
Company Website:",ALEKSANDRIT,[Trawler],1655.0
887143,8817423,????,2009.0,UGYK,Kaliningrad,Russia,KM* Ice2 fishing vessel,,Fishing,Refrigerated cargo machinery,15.02.1990,Poland,3981,1194,176,4815,93.6,84.7,16.0,16.0,9.0,5.0,14.3,Diesel,"Built ME: 1989
Country Construction: Poland
The number and power of ME: 1*3680
Mark ME: 8L 35MC",,1 - Controllable pitch propeller,4,1*1200 2*640 1*100,0,,0.0,0,"""Atlantrybflot"" JSC
Address:Russia, 236039 Kaliningrad, ul. Suvorova, 57
IMO:1510444
Email:mechanics@forklg.koenig.ru, FOR@forklg.koenig.ru,FOR@klg.for-group.ru
Company Website:",ALEKSEYANICHKIN,[Others],3680.0
781061,7828516,????????,2006.0,UDFQ,Petropavlovsk-Kamchatsky,Russia,KM(*) L3 fishing vessel,,Fishing,"Side-fishing, Seiner, Drift net, Purse net",31.07.1979,USSR,181,54,13,327,34.0,29.9,7.0,7.0,3.6,2.0,9.0,Diesel,"Built ME: 2009
Country Construction: China
The number and power of ME: 1*447
Mark ME: KTA 19M3",,1 - Fixed pitched solid propeller,3,3*100,0,,0.0,0,"PC ""KOLHOZ OKTYABR""
Address:Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23
IMO:
Email:kolhozoktyabr@mail.ru
Company Website:",ALEKSEYDYMSKIKH,[Seiner],447.0
904003,8901456,,,UDKE,Petropavlovsk-Kamchatsky,Russia,KM* Ice1 fishing vessel,,Fishing,"Fish factory, Stern Trawler, Refrigerated cargo machinery, Fish processing",08.11.1990,Norway,1944,592,113,2922,64.0,55.5,13.0,13.0,8.8,5.7,14.0,Diesel,"Built ME: 1990
Country Construction: Finland
The number and power of ME: 1*2460
Mark ME: 6R 32E",,1 - Controllable pitch propeller,4,2*320 1*1304,0,,0.0,0,"""AKROS"" FISHING JSC
Address:Russia, 683013 Petropavlovsk-Kamchatskiy, ul.Shturmana Elagina, 43
IMO:1529285
Email:priem@akros.ru
Company Website:",ALEKSEYCHIRIKOV,[Trawler],2460.0
897499,8909721,HSIANG CHING TSAI,2015.0,UHBW,Vladivostok,Russia,(KM)* fishing vessel,,Fishing,,21.11.1989,Japan,1181,389,95,1880,70.1,60.0,10.0,0.0,4.0,4.1,13.4,Diesel,"Built ME: 1989
Country Construction: Japan
The number and power of ME: 1*1324
Mark ME: 6M31AFTE",,1 - Fixed pitched solid propeller,4,1*560 1*560 1*450,0,,0.0,0,"ANTEY CO LTD
Address:Russia, 690039 Vladivostok, ul. Russkaya, 19-A, kab. 1203
IMO:
Email:anteyfish@mail.ru; sbm-antey@mail.ru
Company Website:",ALESTAR,,1324.0
785128,7720025,IFJORD,2004.0,UGEZ,Murmansk,Russia,KM* L4 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery",01.03.1979,Norway,568,175,21,934,46.4,40.0,9.4,9.0,6.0,4.3,12.0,Diesel,"Built ME: 1978
Country Construction: Norway
The number and power of ME: 1*1325
Mark ME: 6AX",,1 - Controllable pitch propeller,4,2*240,0,,0.0,0,"VESTIMPEKS Co., LTD
Address:Russia, 183001 Murmansk, ul.Tralovaya, d.49
IMO:
Email:westimpexltd@gmail.com
Company Website:",ALIOT,[Trawler],1325.0
887139,8509155,JOON SUNG NO.5,2016.0,UBBE,Vladivostok,Russia,KM* Ice1 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery",28.05.1990,Poland,3707,1112,186,4848,95.0,85.6,15.7,15.0,9.0,5.0,15.0,Diesel,"Built ME: 1988
Country Construction: Poland
The number and power of ME: 1*3680
Mark ME: 8L 35MC",,1 - Controllable pitch propeller,4,2*640 1*1200,0,,0.0,0,"ALITET DV, LLC
Address:Russia, 690001 Vladivostok, ul. Abrekskaya, d.5 , of.8
IMO:
Email:alitetdv@gmail.com
Company Website:",ALIOT,[Trawler],3680.0
860691,8722745,ALLIKSAARE,2005.0,UBDI,Murmansk,Russia,KM(*) L3 R1 fishing vessel,,Fishing,"Stern Trawler, Shrimp trawl, Pair trawler",08.12.1986,USSR,117,35,3,177,25.0,22.0,7.0,6.0,3.0,2.3,9.5,Diesel,"Built ME: 2013
Country Construction: Japan
The number and power of ME: 1*368
Mark ME: 6HYM-WET",,1 - Fixed pitched solid propeller,4,1*24 1*25,0,,0.0,0,"RK ATLANTIKA, LTD
Address:Russia, 183032, Murmansk, ul.Ponomareva, d.5, kv.21
IMO:
Email:rk_atlantika@mail.ru
Company Website:",ALLIKSAARE,[Trawler],368.0
887105,8842026,??????????,2008.0,UBZF,Murmansk,Russia,KM* R1 fishing vessel,,Fishing,Stern Trawler,01.08.1988,Poland,115,34,5,203,25.9,23.6,6.0,6.0,3.0,2.4,10.0,Diesel,"Built ME: 1988
Country Construction: United States of America
The number and power of ME: 1*465
Mark ME: 3412 V12",,1 - Fixed pitched solid propeller,4,1*50 1*22,0,,0.0,0,"PUTINA CO LTD
Address:Russia, 183012 Murmansk, pr. Lenina 93, a/ya 3872
IMO:
Email:putina@com.mels.ru
Company Website:",ALTAY,[Trawler],465.0
871376,8722628,ALBATROSS,2016.0,UBDP3,Bolshoy port of St.-Petersburg,Russia,KM(*) L3 R1 fishing vessel,,Fishing,"Stern Trawler, Pair trawler",23.09.1987,USSR,112,33,3,174,25.4,22.0,6.0,0.0,3.0,2.3,9.5,Diesel,"Built ME: 1989
Country Construction: German Democratic Republic
The number and power of ME: 1*287
Mark ME: 6NVD 26-A3",,1 - Fixed pitched solid propeller,4,2*13,0,,0.0,0,"Kotlovskiy Ivan Gennadyevich
Address:Russia, 194356 St.Petersburg, pr. Lunacharskogo, d. 52, k.1, kv. 208
IMO:
Email:ivankotlovskiy@gmail.com
Company Website:",ALBATROSS,[Trawler],287.0
832969,8227367,????,2015.0,UHJZ,Murmansk,Russia,KM(*) L3 R1 fishing vessel,,Fishing,"Stern Trawler, Pair trawler",11.05.1984,USSR,121,36,4,195,25.0,22.0,7.0,6.0,3.0,2.5,9.5,Diesel,"Built ME: 2006
Country Construction: Italy
The number and power of ME: 1*294
Mark ME: 8210SRM45",,1 - Fixed pitched solid propeller,4,1*32 1*13,0,,0.0,0,"Polar Lights Co., Ltd
Address:Russia, 183001 Murmansk, Rybnyy port, yuzhnye prichaly
IMO:
Email:sudorem@mail.ru
Company Website:",ALBATROS,[Trawler],294.0
950741,8961781,FORTUNA NO 21,2012.0,UBZH5,Sovetskaya Gavan,Russia,(KM)* (REF) fishing vessel,,Fishing,Side-fishing,15.05.1996,Taiwan,732,321,42,979,53.4,46.5,8.0,8.0,3.6,3.6,12.0,Diesel,"Built ME: 1995
Country Construction: Japan
The number and power of ME: 1*883
Mark ME: ML627GSC-3",,1 - Fixed pitched solid propeller,4,2*280,0,,0.0,0,"SIGMA MARINE TECHNOLOGY CO LTD
Address:Russia, 680045, Khabarovsk, ul. Krasnorechenskaya, d.118-v, of. 8
IMO:
Email:sigma-m-tech@mail.ru
Company Website:",ALBATROSS8,[Others],883.0
990236,9214410,KVALOYFJORD,2007.0,UCEL,Murmansk,Russia,KM* Ice3 AUT1 fishing vessel,DNV,Fishing,"Stern Trawler, Refrigerated cargo machinery",09.03.2001,Romania,856,266,43,1483,41.0,36.0,11.0,11.0,7.2,5.0,12.9,Diesel,"Built ME: 2000
Country Construction: The Netherlands
The number and power of ME: 1*1950
Mark ME: 8L 26A",,1 - Controllable pitch propeller,4,1*1024 1*720 1*160,0,,0.0,0,"COMPANY ""ANDROMEDA"" LTD
Address:Russia, 183025 Murmansk, ul. Polyarnye zori, 22
IMO:1849750
Email:murmanseld2@mail.ru
Company Website:",ALMAK,[Trawler],1950.0
866912,8509131,ALTAIR II,2010.0,UBHG8,Nevelsk,Russia,KM* Ice1 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting",30.04.1987,Poland,3862,1159,175,4955,94.0,86.9,15.0,15.0,10.0,5.6,15.0,Diesel,"Built ME: 1986
Country Construction: Poland
The number and power of ME: 1*3200
Mark ME: 6ZL 40/48",,1 - Controllable pitch propeller,4,1*1200 2*800,0,,0.0,0,"OSTROV SAKHALIN, JSC
Address:Russia, 693010 Sakhalinskaya obl, Yuzhno-Sakhalinsk, Altayskiy per, dom ? 15
IMO:
Email:pilenga@sakhalin.ru, sea@pilenga.ru
Company Website:",ALTAIR,[Trawler],3200.0
